_id,user,driver,pickUpLocation.type,pickUpLocation.coordinates[0],pickUpLocation.coordinates[1],dropOffLocation.type,dropOffLocation.coordinates[0],dropOffLocation.coordinates[1],rideType,fare,estimatedFare,status,scheduledTime,startTime,endTime,isSharedRide,rideForOthers,distance,eta,hour,dayOfWeek,isPeak,demandFactor,vehicleType,createdAt,updatedAt,__v
67f8ee79d03c39c9e8cce5ec,,,Point,80.16416898012854,12.939630496669816,Point,80.24131646632259,13.055851600755938,auto,749.84028,749.84028,completed,2025-03-22T19:45:11.588Z,,,false,,20.146,33.949933333333334,1,0,0,3,Auto Rickshaw,2025-04-11T10:27:05.170Z,2025-04-11T10:27:05.170Z,0
67f8ee7bd03c39c9e8cce5ef,,,Point,80.22901551210815,13.02175973915076,Point,80.16416898012854,12.939630496669816,auto,1498.628268,1498.628268,completed,2025-03-30T02:22:58.985Z,,,false,,16.185,26.409383333333334,7,0,1,1.4,Luxury Car,2025-04-11T10:27:07.456Z,2025-04-11T10:27:07.456Z,0
67f8ee7bd03c39c9e8cce5f1,,,Point,80.18586900082647,12.919573139556165,Point,80.18586900082647,12.919573139556165,luxury,60,60,completed,2025-04-11T08:06:50.346Z,,,false,,0,0,13,5,0,0.5,Auto Rickshaw,2025-04-11T10:27:07.992Z,2025-04-11T10:27:07.992Z,0
67f8ee7cd03c39c9e8cce5f3,,,Point,80.1471906604401,13.047154927135065,Point,80.20961066104181,13.140059497190236,luxury,2020.8439,2020.8439,completed,2025-03-30T06:41:03.618Z,,,false,,15.69,26.014633333333332,12,0,0,9,Luxury Car,2025-04-11T10:27:08.703Z,2025-04-11T10:27:08.703Z,0
67f8ee7dd03c39c9e8cce5f5,,,Point,80.11643120005775,12.923190549673674,Point,80.26711239968445,13.067129428817271,economy,462.59867999999994,462.59867999999994,completed,2025-04-07T14:31:22.835Z,,,false,,25.365,34.07926666666667,20,1,1,1.125,SUV,2025-04-11T10:27:09.446Z,2025-04-11T10:27:09.446Z,0
67f8ee7ed03c39c9e8cce5f7,,,Point,80.14928235558563,12.960869732521747,Point,80.24131646632259,13.055851600755938,auto,513.2192249999999,513.2192249999999,completed,2025-03-22T23:15:28.505Z,,,false,,17.458,25.360149999999997,4,0,0,0.25,Van,2025-04-11T10:27:10.217Z,2025-04-11T10:27:10.217Z,0
67f8ee7fd03c39c9e8cce5fa,,,Point,80.26711239968445,13.067129428817271,Point,80.16217871822874,13.05777857543899,economy,204.9619761904762,204.9619761904762,completed,2025-03-27T18:02:39.617Z,,,false,,13.5,15.473383333333334,23,4,0,0.42857142857142855,SUV,2025-04-11T10:27:11.397Z,2025-04-11T10:27:11.397Z,0
67f8ee80d03c39c9e8cce5fc,,,Point,80.27825323665566,12.90210359647597,Point,80.1225448889606,12.930545552662647,auto,470.9484,470.9484,completed,2025-03-30T10:19:55.580Z,,,false,,18.956,33.122,15,0,0,0.8,Sedan,2025-04-11T10:27:12.123Z,2025-04-11T10:27:12.123Z,0
67f8ee82d03c39c9e8cce600,,,Point,80.2917844883294,13.013752197548177,Point,80.16217871822874,13.05777857543899,premium,859.4046375000001,859.4046375000001,completed,2025-03-28T16:40:12.765Z,,,false,,17.957,38.73161666666667,22,5,0,2,Auto Rickshaw,2025-04-11T10:27:14.050Z,2025-04-11T10:27:14.050Z,0
67f8ee82d03c39c9e8cce602,,,Point,80.11152047644688,13.060329192731281,Point,80.27825323665566,12.90210359647597,premium,1864.7776799999997,1864.7776799999997,completed,2025-03-24T15:53:41.514Z,,,false,,31.604,38.5784,21,1,1,2.25,Hatchback,2025-04-11T10:27:14.918Z,2025-04-11T10:27:14.918Z,0
67f8ee83d03c39c9e8cce604,,,Point,80.25127161864232,13.077639215421886,Point,80.27825323665566,12.90210359647597,premium,1137.75195,1137.75195,completed,2025-04-08T18:09:01.631Z,,,false,,22.831,29.047533333333334,23,2,0,1.125,Hatchback,2025-04-11T10:27:15.615Z,2025-04-11T10:27:15.615Z,0
67f8ee84d03c39c9e8cce606,,,Point,80.14928235558563,12.960869732521747,Point,80.2917844883294,13.013752197548177,auto,452.6680319999999,452.6680319999999,completed,2025-03-13T01:58:45.182Z,,,false,,20.042,29.232533333333333,7,4,1,0.5714285714285714,SUV,2025-04-11T10:27:16.306Z,2025-04-11T10:27:16.306Z,0
67f8ee85d03c39c9e8cce608,,,Point,80.24131646632259,13.055851600755938,Point,80.20444671173513,12.9811349583933,shared,521.5391824999999,521.5391824999999,completed,2025-03-28T01:54:11.589Z,,,false,,11.418,19.983983333333335,7,5,1,0.25,Luxury Car,2025-04-11T10:27:17.069Z,2025-04-11T10:27:17.069Z,0
67f8ee85d03c39c9e8cce60a,,,Point,80.12763694153224,12.964942318757995,Point,80.12763694153224,12.964942318757995,luxury,60,60,completed,2025-04-06T07:37:11.583Z,,,false,,0,0,13,0,0,1.3333333333333333,Bike,2025-04-11T10:27:17.716Z,2025-04-11T10:27:17.716Z,0
67f8ee86d03c39c9e8cce60c,,,Point,80.12534183816535,12.92077612762581,Point,80.26765763353534,13.072338430747626,luxury,3350.1239499999997,3350.1239499999997,completed,2025-03-15T10:28:04.031Z,,,false,,26.433,39.38798333333333,15,6,0,13,Luxury Car,2025-04-11T10:27:18.489Z,2025-04-11T10:27:18.489Z,0
